RT @cnnbrk: The Prime Ministers of Poland, Slovenia and the Czech Republic are travelling to Kyiv to meet with Ukrainian President Zelensky…
RT @samstreetwrites: Macron decided to turn up to work in a pair of jeans and a French paratroopers hoodie to be more like Zelensky. https:…
RT @ianbremmer: a huge boost for zelensky. would attract others to kyiv in solidarity. us ambassador could return.   intent would be to for…
RT @cnnbrk: The Prime Ministers of Poland, Slovenia and the Czech Republic are travelling to Kyiv to meet with Ukrainian President Zelensky…
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
RT @OccupyDemocrats: BREAKING: Ukrainian President Zelensky sends the family of slain US journalist Brent Renaud a letter sending his “hear…
RT @MotherRiverZen: Yes; that is a Nazi Eagle tattooed on his chest, and those are Nazi SS 'Schutzstaffel' runes tattooed on his collarbone…
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
RT @tradergrl: @mrsorokaa Can anyone picture their country’s leader making such wise and quick monumental decisions, being able to inspire…
RT @nytimes: Thousands of volunteers responded to President Volodymyr Zelensky’s call for foreign fighters to help protect Ukraine.  The Ne…
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
RT @farsa_twt: Zelensky invested in trains
RT @mattia_n: A senior aide to the 🇺🇦 Minister of Interior writes on Telegram that Prime ministers of Poland, the Czech Republic, and Slove…
RT @OccupyDemocrats: BREAKING: Ukrainian President Zelensky sends the family of slain US journalist Brent Renaud a letter sending his “hear…
RT @mrsorokaa: ⚡️It looks like Zelensky canceled taxes amid war.  “Instead of VAT &amp; income tax we give you a 2% tax rate and simplified acc…
RT @BBCYaldaHakim: Remarkable - The prime ministers of Poland, the Czech Republic and Slovenia are travelling to Kyiv for talks with Presid…
RT @NatashaBertrand: New: Lawmakers and Zelensky have pressured Biden to help broker the transfer of heavier weaponry to Ukraine, including…
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
@7Veritas4 Zelensky is trending near the top of my list right now. He is bravely doing everything to fight for his people.
RT @donalocobh49: Zelensky is one of the Ukraine tax dodgers, Ukraine is the country with the  most politicians  exposed in the Pandora pap…
RT @ForestierMagali: Why Macron’s Zelensky makeover is hilariously misguided https://t.co/Ka5Ohq7Gq7
RT @Number10cat: The Polish, Czech and Slovenian prime ministers are visiting Kyiv today to meet with Ukrainian President Zelensky. Boris J…
RT @axios: Zelensky paid tribute to slain American journalist Brent Renaud in a statement to his family, praising him as a “talented and br…
RT @mrsorokaa: “We cancel all inspections for all businesses,” said Zelensky.  “The only condition is that you ensure the normal operation…
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
@cnnbrk dear Zelensky, protect your people. 😄
RT @mrsorokaa: ⚡️It looks like Zelensky canceled taxes amid war.  “Instead of VAT &amp; income tax we give you a 2% tax rate and simplified acc…
RT @nytimes: President Volodymyr Zelensky of Ukraine sent condolences to the family of Brent Renaud, the U.S. journalist who was killed out…
@VP I'll be more impressed if you did what the Poland, Czech and Slovenia Prime Ministers did, visit Kyiv to meet with Zelensky
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
RT @OccupyDemocrats: BREAKING: Ukrainian President Zelensky sends the family of slain US journalist Brent Renaud a letter sending his “hear…
RT @CoolChange80: Zelensky is a proven liar and a self interested politician that promotes the agenda of the degenerate elites , he's the p…
Zelensky to address Congress virtually this week https://t.co/JvtntooXfG
RT @BBCWorld: Ukrainian President Volodymyr Zelensky urges Russian troops to surrender https://t.co/CKW7eYfKSW
Check out this drawing on https://t.co/f1IowKhpIZ! https://t.co/4FExMkkaiG
RT @OccupyDemocrats: BREAKING: Ukrainian President Zelensky sends the family of slain US journalist Brent Renaud a letter sending his “hear…
RT @BBCSteveR: What are TV viewers in Russia being told tonight about tensions in Ukraine? The polar opposite of TV bulletins in the West.…
RT @olliecarroll: In new message, Zelensky appeals to Russian soldiers: “You won’t take anything fm Ukraine. You will take lives. But we wi…
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
RT @galathea2041: Ours is a curious era where, in spite of information being availiable in a few clicks, History can be falsified in real t…
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
RT @Rafal88131735: BOOM: Zelensky releases a direct statement to Russia:  "There will definitely be an international tribunal for this crim…
RT @mrsorokaa: ⚡️It looks like Zelensky canceled taxes amid war.  “Instead of VAT &amp; income tax we give you a 2% tax rate and simplified acc…
RT @ChristopherJM: In a new address overnight, Zelensky spoke directly to Russian soldiers, in Russian: “You will not take anything from Uk…
