🌼 К #Зеленский на поезде прибыли премьеры #Словенич, #Чехия и #Польша. Может самого украинского вождя из Польши привезли на #Украина народу показать, так как его видео из #Киев всё больше на монтаж похожи, а может по старой доброй традиции решили поучаствовать в разделе страны https://t.co/8laBG5Y4jZ
@360tv Зеленский слишком много на себя берет, что в его положении не лучшая затея. Он неоднократно заявлял о намерении сесть за стол переговоров, но что-то сесть так и не смог. Уже просто лимит доверия к нему исчерпан окончательно.
@Asya39424068 @ilya_shepelin Вся проблема в том, что у президентов не было желания решить проблему Донбасса. Порошенко зарабатывал деньги, Зеленский непонятно чем занимался. И вот итог 🤷
@batiscafcusto @riabreakingnews 😂🤦‍♂️хохлы в своём репертуаре. Нет никаких оснований требовать демилитаризации РФ — это на украине сейчас такая ситуация, что Зеленский решает как бы ему выгоднее сдать страну, но нет, аноним «Онегин» «треба»🙃
@bryhynets Зеленский не может произнести слова Россия агрессор,  а мы ждем что бы ВР признала путина военным преступником и Зеленский это подписал?  Держи карман шире
CNN: Конгресс США и Зеленский обратились к администрации Байдена за помощью в передаче Украине тяжелого вооружения советского производства.
@ElturS @rianru то есть ЗЕленский дейстует не по указке Байдена?  Мн иногла кажется, что он вообще не в курсе, что происходит в его стране
@fagidragon @Elenalexy Зато Сталин запретил все покушения на Гитлера. Бесноватость, гениальная тупость и упёртость очень часто играли в пользу Красной Армии. А пришедший на его место вдруг оказался бы умным? И пошёл на сговор с США и Англией? Многое становится понятным, почему до сих пор жив Зеленский
@forest_diver @mironov_fm @altered_cabron Но я не верю что вы из Украины. Люди которых убивают не крутят носом выбирая помощь. Думаете Зеленский ее просто так публично поблагодарил? Просто у него хватает ума понять что путинская власть рухнет если люди из системы массово побегут. Хоть бы и ради убежища.
@i_army_org @bookazoid_ @Rogozin и самый ярый украинский нацист еврей Зеленский
@i_army_org путин через 2 дня: кстати, я тоже нацист, но не такой как Зеленский.
@IsraelThreads Зеленский доказал всему миру что он настоящий Мужик с большими яйцами, базара нет,🇺🇦🇬🇪
@IsraelThreads «Зеленский- Черчиль наших дней»- С. Белковский
@Ittarma @coalo_pauelho так ведь "Зеленский, прекрати войну!" - это тоже антивоенный митинг а также я от своих слов не отказываюсь: винтить всех подряд унд беспределить - это зря, и митинги такого рода я бы не запрещал. Что как бы фриковатость и инфантилизм участников не отменяет
@JAEMIN0VA бандера и зеленский бомбили донбасс пока вы молчали...
@john_kaiff Ага! А ещё пропагандоны возмущаются, что Зеленский подписал указ, что можно и нужно убивать русских! Типа, это не русские бомбят украинские города и убивают украинцев, а какие-то марсиане прилетели и беснуются! Совсем отупели от наркоты кремлевские холуи!
@JollyRogerFlag @GazetaRu а ты не в курсе,что жертвы среди гражданских на Украине - не наша вина?Тебя не смущает что за пол месяца зеленский и пальца о палец не ударил,чтоб люди покинули крупные заблокированные города,а РФ тем временем уже сама предложила помощь в формировании коридоров?
@Leonid_Gozman Зеленский или Навальный?
@linn231 @IevaStapane @dearboleg @wiki_maneshik @32_dec Зеленский выиграл на честных выборах Русским этого тоже не понять. Честные выборы в России это оксюморон Всего этого можно было избежать, если бы Россия не вводила свои войска в Крым, Донецк и Луганск. А ввода войск можно было избежать если бы Путин не сидел так долго на троне
@LuigiDeBiase На плакате-Зеленский капитулируй,бросай наркотики и возвращайся  на сцену https://t.co/We00yh7smj
Mariupol Russian Украине Kyiv Украине Зеленский Mimi Kremlin Твиттер Ukrainian Russia Франции киеве Макдональдс  Америке Печально макрона Putin Осталось Чувствую #Ukraine #StopTheWar   #StopPutinNOW #ЯпротивВойны #StopWarInUkraine #StopWar #standwithukraine  #нетвойне #Russia https://t.co/h6MxMlekvz
@mediazzzona Зеленский... Что не заявление, то хочется спросить, что он курит, ну вот реально. Или, судя по его пресс-конференциям, он перешел на алкоголь.
@naet_oD Почему вы молчали 8 лет когда на ДЛНР была война похлеще чем сейчас? Почему вы не говорите что Зеленский не прав, хотя именно Укр. правительство бомбило ДЛНР? Я против войны, но провительство Укр. не святое и вы должны это принять. Почему жителей Укр. не эвакуировали?
@OksanaVirtanen @IsraelThreads Зеленский виноват, а не путин, который напал на Украину, ну да ну да. У вас небось и жертва изнасилования сама виновата что её изнасиловали 🤡
@Peremogi Т.е. Зеленский готов вернуть российские гонорары и, посыпав голову пеплом, отправиться в тюрьму?
@protocol_fantom @vertiporokh К сожалению фейкомет Зеленский ее опередил давно
@Pustowasja @trucker228 @RT_russian @Oksana_Moscow Пидарас это Зеленский
@rianru Оказывается, Зеленский сейчас не в бункере в Киеве, а на передовой на лихом бронетранспортёре https://t.co/rhfYlZcrMB
RT @AllaUkraine2015: Зеленский подписал закон о коллаборационизме, в УК будет добавлена криминальная статья. Этот закон должны были принять…
RT @arctic_lanes: А историю-то сейчас пишут Зеленский и Украина, а совсем не бункерный сиделец и не великая от-края-и-до-края с ядреной бом…
RT @AzarovNikolay_: Договариваться можно с теми, кто имеет волю, желание и возможности договариваться  Если Зеленский приказал прекратить о…
RT @cgtnrussian: Первый вице-спикер Рады Александр Корниенко: президент Украины Владимир Зеленский подписал закон, который предполагает уго…
RT @CurrentTimeTv: “У Украины вы ничего не заберете. Вы будете забирать жизни – вас очень много. Но и вашу тоже заберут. Но ради чего вам п…
RT @d5SayyUAL0rLSBL: ⚡️ Зеленский подписал закон об уголовной ответственности за сотрудничество с Россией.  @opersvodki
RT @doxa_journal: Президент Украины Владимир Зеленский обратился к россиян_кам, которые выходят на протесты против военной агрессии в Украи…
RT @dw_russian: Владимир Зеленский поблагодарил Марину Овсянникову за акцию во время прямого эфира на Первом канале. Фрагмент с этим эпизод…
RT @dymkag: Эрнст-предатель Родины!  Зеленский, Собчак, Ургант, Галкин, Меладзе… Всем им Эрнст щедро раздавал эфирное время на Первом. Пров…
RT @fucudzava: @binbicha все как предсказывалось, зеленский закрыл небо над украиной своим членом
RT @Hy_Donetsk: Шуфрич где?  Зеленский подписал закон об уголовной ответственности за сотрудничество с Россией  Первый закон карает за сотр…
RT @iponomarev: Зеленский отменил обязательные налоги в Украине  Отменяются НДС и налог на прибыль. Вводится единая ставка в 2% на оборот и…
RT @Kartoshka_kofe: Вот именно, парадокс что не ВР украины, не лично Зеленский не объявляли войны России, т.е. Украина официально не находи…
RT @KasparovRu: Зеленский объявил о налоговой реформе в Украине https://t.co/bkM9OmU2Ij https://t.co/5cVr0yel0r
RT @k_ollga: Зеленский не сможет выступить на экстренном заседании ПАСЕ в 18:00 (мск) 14 марта из-за «непредвиденных обстоятельств». Об это…
RT @konoplintus: русофобия в грузии. уже от нескольких таксистов слышу, как им новоприбывшие россияне доказывают, что зеленский «клоун», ук…
RT @Lana_mem: А почему сильно молчат за Днепропетровскую область. Родину многих украинских чиновников и президентов.Решили торговаться?   У…
RT @Lizvetoczka: #Gela_Vasadze Президент Украины Владимир Зеленский в среду выступит в видеорежиме перед обеими палатами конгресса США © #с…
RT @mediazzzona: Зеленский поблагодарил редакторку «Первого канала» за антивоенную акцию  «Я благодарен тем россиянам, которые не прекращаю…
RT @nourlnews: Зеленский подписал закон об уголовном наказании за сотрудничество с Россией. За это можно будет получить до 15 лет тюрьмы. Р…
RT @ntvru: Зеленский подписал закон об уголовной ответственности за сотрудничество с Россией, сообщил первый вице-спикер Рады
RT @PetrMazepa: В "Слуге народа" заявляют, что Зеленский подписал законы про коллаборационизм https://t.co/4UO3igjeVJ Опубликованы они долж…
RT @poppoppopkt: 🇺🇦🇷🇺Зеленский подписал закон об уголовной ответственности за сотрудничество с Россией.
RT @RacursUa: Закон о коллаборационизме подписал Зеленский https://t.co/EPxdTrd7ol
RT @RadioStydoba: Зеленский ввёл уголовную ответственность за сотрудничество с Россией. До 15 лет тюрьмы по новому закону "о коллаборациони…
RT @Rauf1615: Во время Второй мировой войны четыре брата из одной еврейской семьи записались воевать против нацистов. Выжил только один из…
RT @RuFailedState: Зеленский подписал закон об уголовной ответственности за сотрудничество с Россией. Максимальное наказание — 15 лет лишен…
RT @svecha62: CNN: Конгресс США и Зеленский обратились к администрации Байдена за помощью в передаче Украине тяжелого вооружения советского…
RT @svtv_news: Зеленский отменил обязательные налоги в Украине. Отменяются НДС и налог на прибыль. Вводится единая ставка в 2% на оборот и…
RT @team_milov: «Я благодарен тем россиянам, которые не прекращают попыток донести правду. Рассказывает реальные факты своим близким, родны…
RT @vottak_tv: Владимир Зеленский подписал закон об уголовной ответственности за сотрудничество с Россией во время войны. Возможное наказан…
RT @Wizard_Severus: Владимир Зеленский посетил больницу, где сейчас оказывают помощь солдатам с разными степенями тяжести ранений. Также на…
RT @WupperV: не надо? А вот по логике почитателей шоколада восстановить все это за 2,5года должен был Зеленский и это в условиях, когда нам…
RT @WupperV: Так что "уважаемые" закройте рот и не задавайте тупых вопросов "А что купил Зеленский?"
RT @Yurets_V: Владимир Зеленский подписал указы об уголовной ответственности за сотрудничество с россией
RT @zerkalo_io: Зеленский и Кремль прокомментировали появление девушки с плакатом «Нет войне» в эфире Первого канала.  Российская сторона с…
@RT_russian's account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more.
@SergUA63 Ещё пару дней и таблички поменяются, типа Зеленский,Порошенко и т.д.)
@_sniezka_ @issssblurryface @_Ta_k_ @nikitonsky @Leonov_mr Все это никак не оправдывает смерти военных РФ, военных Украины и тем более мирных жителей Украины  Этот вопрос мог быть и должен был быть решён дипломатией Но Зеленский решил не отступать, ещё и поддав жару про ядерное оружие, которое, вероятно, разрабатывалось в Украине
@_sniezka_ @issssblurryface @_Ta_k_ @nikitonsky @Leonov_mr Зеленский хотел признать недействительным будапештский меморандум Если он не готовил яо, но делал такие заявления, то псих и самоубийца Врагов я не ищу, но противостояние США и РФ отрицать не стану
@_sniezka_ @issssblurryface Вопрос в другом сейчас Если зеленский готов признать разоружение Украины и гарантии другими странами её безопасности недействительными, то он либо самоубийца, либо готовил ядерное оружие
@USApoRusski @SecBlinken Понятно теперь, почему Зеленский все время с кем-то болтает и рассказывает об этом. Взял пример со своего старшего брата. Есть русская поговорка "Пи...ть- не мешки ворочать"
@WALDO_WASSERMAN @RadioLemberg При чем тут Зеленский, казалось бы 🙄
@z4la1rHYVfl3eqe правильно! молодец Зеленский какой! а деньги от проката сватов на украинскую армию передает наверное, а с завтрашнего дня запретит показ. просто не успел за 8 лет войны.а сколько броников за свои деньги накупил-0. https://t.co/mQldzRUGM6
@zmeybor Зеленский в Киеве. Но вам, конечно, виднее
А где сейчас Зеленский, в Польше, или уже в США? https://t.co/m6K1O2Sr61
Адольф Гитлер был  зависим от кристаллического метамфетамина, так что Зеленский просто вжился в образ 😉 https://t.co/wQitbLquxW
Арестович: они говорят, что мы нацисты   Зеленский: ахахахаха я ж еврей...   Арестович: так вот и я тоже)
арестович подтвердил, что "у Украины нет приоретов в вступление в НАТО, президент очень четко дал оценку этому". Левое яичко хутина зеленский уже облизал.
боже, какая пьяная быдлятина🤦🏽‍♀️ зато Зеленский у них наркоман. https://t.co/ONX7s4IpVY
В ЛНР начали расследовать деятельность украинского националистического батальона "Торнадо" - он был настолько жесток, что даже украинские власти были вынуждены осудить 12 его боевиков (на днях Зеленский амнистировал их). https://t.co/bQKJrD5zWw
⚡️Владимир Зеленский заявил что отменяет масочный режим во всех областях Украины кроме окупированных ⚡️
"Владимир Зеленский подписал закон о запрете изготовления и распространения информационной продукции, направленной на пропаганду действий государства-агрессора", - говорится в сообщении комитета гуманитарной и информационной политики Украины в Telegram-канале.
Владимир Зеленский то что ты сейчас подписываешь не коснется тех кто живет в твоей стране они будут жить там где им лучше а не ждать уголовного преследования Россия не начинала эти агрессивные действия вы сами ее к ним подтолкнули
Ерөнхийлөгч Зеленский тв мэдээ тасалдуулж, дайны эсрэг үг хэлсэн М.Овсянниковад талархал илэрхийлэв💥 https://t.co/OoHnU1INNH
Зеленский благодарит друзей из Центральной Европы: "Это большой, мужественный, правильный и дружественный шаг". Президент зовет в Киев всех друзей Украины. Кто следующий?
Зеленский ввел уголовную ответственность за сотрудничество с Россией  Президент Украины Владимир Зеленский подписал закон об уголовной ответственности за сотрудничество с... https://t.co/ZpMp4KpAYi https://t.co/3aYB2p1UBO
Зеленский ввел уголовную ответственность за сотрудничество с Россией https://t.co/70OvCT4UL2 https://t.co/FgpjYAMs7s
Зеленский отметил, что принимаемые на переговорах с Россией решения должны соответствовать интересам Украины https://t.co/JuJw2KJ72S
Зеленский подписал закон об уголовной ответственности за сотрудничество с Россией https://t.co/bND3nMhwXq #вооруженный конфликт #Зеленский #Россия #Украина https://t.co/4ucDg8lkM8
