- А какое курсы фунта, доллара и рубля на сегодня?  - фунт рублей стоит доллар
- по чем доллар? - 300 - отсоси у ...
1-расм карзга доллар берганлар 2-расм карзга доллар олганлар https://t.co/YW4srk6bio
@4ANTYn0aeSrBr4U Думаю так. Выйдет объявление, как при НЭПе: "Граждане, вся имеющаяся наличная валюта подлежит сдаче в Госбанки в 10-ти дневный срок по курсу 63 копейки за доллар. А "кто не спрячется я не виноват"
@AliToktakunov ФРС Центрбанкка доллар менен карыз да, башка амалы жок албастан
@azamataka Я помню доллар по 40 копеек
#Belarus #Russia #China #dollar #Lukashenko  🙄Лукашенко:  *Беларусь будет в основном торговать в РФ и Китаем; *Сейчас этот доллар уже потихоньку начинает проседать. Потому что никому не нужен. Особенно в связи с этими санкциями, которые введены против нас;
@brewerov А там и доллар по 30)
@chuma_k @Ribeiro10102020 @Kira_Yarmysh Для тех, кто в России живет, доллар в общем-то по барабану, лишь бы на наших границах спокойно было
@Ershova_Katy Эммм.... по их сведениям у нас доллар по 300 рублей То есть если прировнять нас к ним мы должны за литр платить в среднем 396 р. А платим 47:)))
@humm1ng_bird Если лет на 15, так это доллар по 30р должен быть, пхпхх
@lb_marina @bbcrussian Мне все равно сколько соит сейчас доллар в рублях
@mironov_ru Ага, ага. Импорт - уже заместили. Сколково - наклепало нано- и просто технологий... также будет со всем остальным. Лада-калина и гвозди с двумя шляпками, кирзовые сапоги и фуфайки, подорожник вместо лекарств, ВСЕ ЭТО БУДЕТ!!!! Да, еще самое вкусное мороженое и доллар по 60 коп.
@mironov_ru Верните доллар хотя бы на 75 и идите нахуй, без вас ебаных благотетелей справимся
@MirovichMedia Скоро за доллар будут давать пятёрку а не 60 копеек)
@phantomhive_777 Всё просто, в украине доллар стоит 29.25 гривны, в россии 132 рубля. И если разделить цену доллара в россии, на цену доллара в украине, то узнаёшь сколько стоит гривна в рублях. А если на оборот разделить цену доллара в украине, на цену доллара в россии, то узнаешь сколько - &gt;
@probus01 Рынок чего?! Кроме нефти, редкоземельных, алюминия и двигателей для ракет космических, пиндосам ничего не нужно... Главный товар и Оружие Гринго, это бакс... Если похерить доллар, то пиндостан превратится в Гондурас с ЯО.
@qbMYc593lh1CGhd @Djeihunbek А чем подкреплён доллар?
@radnika4 Пока что пердолят рашку и хуйла. Когда биржа откроется? Доллар по 500 ? Заводи уже стоят без комплектующих с Запада.  Денег нет но ви держитесь.  Лапти плетите...
RT @batbayar3113: Бидний боломжийг хулгайллаа гээд байгаа хүмүүс одоо арматурын үйлдвэр бариадхаасай 😏😄 Тийм үйлдвэр барина гэвэл төр дэмжи…
RT @batbayar3113: Оросууд доллар хамаагүй та нар өөрсдөө л хамаг валютаа үрсэн шүү эндээсээ дэлгэрэнгүй харна биз 😄
RT @batdorj911: Рублийн "гудамжны" ханш 1ам. доллар 200 рубльтэй тэнцэж байна гэнэ дээ. Рублийн арилжааг түр зогсоохгүй бол Оросууд доллар…
RT @belamova: В Витебске возле пункта обмена валют 34-летний мужчина кричал, что ненавидит доллар, и угрожал взорвать тех, кто покупал амер…
RT @eku_b: Путины хортой тусламж гуйснаас болж Хятадын хөрөнгийн зах зээл 2008 оноос хойш хамгийн их уналттай өдөр боллоо. 1 өдрийн дотор 2…
RT @jitel_rf: @4ANTYn0aeSrBr4U Думаю так. Выйдет объявление, как при НЭПе: "Граждане, вся имеющаяся наличная валюта подлежит сдаче в Госбан…
RT @MglUgly: Доллар олдохоо байлаа. Why?
RT @MirovichMedia: «Ужесточение наказания для граждан за продажу и покупку валюты на чёрном рынке может быть обсуждено в России в ближайшее…
RT @m_zorigt: Дээр үед Баянгол зочид буудлын валютын дэлгүүр орчимд нууцаар доллар зарж авдаг байж билээ,  Өнөөдөр Орос яг тийм болж гэнэ.
RT @navalny: Как пережить кризис? Самое важное про Доллар, Золото, Акции, Лекарства и Недвижимость https://t.co/j6x9HxsTTB
RT @nesanechkaa: Доллар ебнул выше 122
RT @rianru: На фоне антироссийских санкций Центробанк поднял ключевую ставку до рекордных 20 процентов. Потом ограничили вывоз и покупку ва…
RT @stabilnosti: На «черном рынке» в России доллар подскочил до 200 рублей  И это только начало. Скоро будет по 300.  https://t.co/nwBtb9P2…
RT @tolkach_masha: @chuma_k @Ribeiro10102020 @Kira_Yarmysh Для тех, кто в России живет, доллар в общем-то по барабану, лишь бы на наших гра…
RT @turuu09: Казахстаны ерөнхийлөгч 10 мянгаас дээш доллар тус улсаас гаргахын хорилоо. Оросууд ихээр зөөгөөд бгаа нь үнэн бололтой Via @aa…
RT @userpig: Ставлю доллар на то, что прямоэфирные новости на федеральных каналах после сегодняшнего плаката закончились.
RT @yoshkinkrot: В российских соцсетях появился теневой валютный рынок, пишет «Коммерсантъ».  Ценник в группах и ботах достигает 200 ₽ за д…
@Shagdarsurenba3 @m_zorigt Юун 50 $доллар 5$ тай. л бол дуудуулна шд
@silvergayb Доллар нужно нагнуть
Spiegel назвал три главных признака заката доллара  Доллар может потерять статус главной мировой валюты из-за инфляции, ограничительных мер против России и ситуации на рынках. Такую точку зрения высказал экономист, профессор Технического университета До... https://t.co/kqgqLyYaVX
